# Samplesheet - RNA-seq Paramacrobiotus (Pam.)
sample,R1,R2,species,condition,treatment
#
# species    : short form used in downstream scripts/config (matches
#              original samplesheet convention, e.g. "gadabouti",
#              "experimentalis")
# condition  : "control" or "anhydrobiosis"
# treatment  : "water" or "bleached"
#
# NOTE: fastq paths below are PLACEHOLDERS (no real data yet). They
# follow the naming convention <sample_id>_R1.fastq.gz / _R2.fastq.gz
# under data/. This lets the pipeline be dry-run / partially run (e.g.
# starting from the counts step onward) without failing on missing
# input file references, as long as the corresponding rules aren't
# actually re-triggered for the raw-fastq stage.
#
# GCB-3 is commented out: marked as "Removed" in the sample table.

# --- Pam. experimentalis, Control, Water ---
ECO-3,data/ECO-1_R1.fastq.gz,data/ECO-1_R2.fastq.gz,experimentalis,control,water
ECO-4,data/ECO-2_R1.fastq.gz,data/ECO-2_R2.fastq.gz,experimentalis,control,water
ECO-5,data/ECO-3_R1.fastq.gz,data/ECO-3_R2.fastq.gz,experimentalis,control,water

# --- Pam. experimentalis, Anhydrobiosis (rehydrated), Water ---
EAO-1,data/EAO-1_R1.fastq.gz,data/EAO-1_R2.fastq.gz,experimentalis,anhydrobiosis,water
EAO-2,data/EAO-2_R1.fastq.gz,data/EAO-2_R2.fastq.gz,experimentalis,anhydrobiosis,water
EAO-3,data/EAO-3_R1.fastq.gz,data/EAO-3_R2.fastq.gz,experimentalis,anhydrobiosis,water

# --- Pam. gadabouti, Control, Bleached ---
GCB-1,data/GCB-1_R1.fastq.gz,data/GCB-1_R2.fastq.gz,gadabouti,control,bleached
GCB-2,data/GCB-2_R1.fastq.gz,data/GCB-2_R2.fastq.gz,gadabouti,control,bleached
# GCB-4,data/GCB-4_R1.fastq.gz,data/GCB-4_R2.fastq.gz,gadabouti,control,bleached   # Removed

# --- Pam. gadabouti, Anhydrobiosis (rehydrated), Bleached ---
GAB-1,data/GAB-1_R1.fastq.gz,data/GAB-1_R2.fastq.gz,gadabouti,anhydrobiosis,bleached
GAB-2,data/GAB-2_R1.fastq.gz,data/GAB-2_R2.fastq.gz,gadabouti,anhydrobiosis,bleached
GAB-3,data/GAB-3_R1.fastq.gz,data/GAB-3_R2.fastq.gz,gadabouti,anhydrobiosis,bleached

# --- Pam. gadabouti, Control, Water (additional sample) ---
GCO-1,data/GCO-1_R1.fastq.gz,data/GCO-1_R2.fastq.gz,gadabouti,control,water
